Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,7,1,4,0,0,1,7,0,4,0,0,0,build,Guard Tower,16,0.5,0.5
2,P2,1,10,7,1,4,0,0,1,7,1,4,0,0,0,build,Wood Reserve,15,0.5,0.5
3,P1,1,10,7,2,4,0,0,1,7,1,4,0,0,0,build,Press,10,0.5,0.5
4,P2,1,10,7,2,4,0,0,1,7,2,4,0,0,0,build,Clay Reserve,14,0.5,0.5
5,P1,1,10,7,3,4,0,0,1,7,2,4,0,0,0,build,Quarry,9,0.5,0.5
6,P2,1,10,7,3,4,0,0,1,7,3,4,0,0,0,build,Logging Camp,18,0.5,0.5
7,P1,1,10,7,4,4,0,0,1,7,3,4,0,0,0,build,Stone Pit,5,0.5,0.5
8,P2,1,10,7,4,4,0,0,1,7,4,4,0,1,0,build,Scriptorium,19,0.5,0.5
9,P1,1,10,7,5,4,0,0,1,7,4,4,0,1,0,build,Clay Pool,17,0.5,0.5
10,P2,1,10,7,5,4,0,0,1,7,5,4,0,2,0,build,Apothecary,12,0.5,0.5
11,P1,1,10,7,6,4,0,1,1,7,5,4,0,2,0,build,Workshop,11,0.5,0.5
12,P2,1,10,7,6,4,0,1,1,7,6,4,0,2,0,build,Glassworks,7,0.5,0.5
13,P1,1,10,7,7,4,1,1,1,7,6,4,0,2,0,build,Altar,13,0.5,0.5
14,P2,1,10,7,7,4,1,1,1,7,7,4,0,3,0,build,Pharmacist,6,0.5,0.5
15,P1,1,10,7,8,4,1,1,2,7,7,4,0,3,0,build,Garrison,2,0.5,0.5
16,P2,1,11,7,8,4,1,1,2,7,8,4,0,3,0,build,Tavern,3,0.5,0.5
17,P1,1,11,7,9,4,2,1,2,7,8,4,0,3,0,build,Baths,0,0.5,0.5
18,P2,1,11,7,9,4,2,1,2,7,9,4,0,3,1,build,Stable,8,0.5,0.5
19,P1,1,10,7,10,4,2,1,2,7,9,4,0,3,1,build,Lumber Yard,4,0.5,0.5
20,P2,1,10,7,10,4,2,1,2,7,10,4,0,3,1,build,Clay Pit,1,0.5,0.5
1,P2,2,10,7,10,4,2,1,2,7,11,4,1,3,1,build,Courthouse,19,0.5,0.5
2,P1,2,10,7,11,4,2,1,3,7,11,4,1,3,1,build,Barracks,18,0.5,0.5
3,P2,2,11,7,11,4,2,1,3,7,12,4,1,4,1,build,Dispensary,17,0.5,0.5
4,P1,2,11,7,12,4,2,1,3,7,12,4,1,4,1,build,Brickyard,15,0.5,0.5
5,P2,2,11,7,12,4,2,1,3,7,13,4,1,4,1,build,Sawmill,11,0.5,0.5
6,P1,2,11,7,13,4,2,1,3,7,13,4,1,4,1,build,Caravansery,14,0.5,0.5
7,P2,2,11,7,13,4,2,1,3,7,14,4,1,4,1,build,Forum,10,0.5,0.5
8,P1,2,11,4,14,4,2,2,3,7,14,4,1,4,1,build,Library,6,0.5,0.5
9,P2,2,11,4,14,4,2,2,3,7,15,4,1,4,1,build,Drying Room,0,0.5,0.5
10,P1,2,11,4,15,4,2,2,3,7,15,4,1,4,1,build,Shelf Quarry,16,0.5,0.5
11,P2,2,11,4,15,4,2,2,3,7,16,4,1,4,1,build,Brewery,13,0.5,0.5
12,P1,2,11,4,16,4,3,2,3,7,16,4,1,4,1,build,Aqueduct,12,0.5,0.5
13,P2,2,11,4,16,4,3,2,3,7,17,4,2,4,1,build,Rostrum,7,0.5,0.5
14,P1,2,11,4,17,4,3,3,3,7,17,4,2,4,1,build,School,9,0.5,0.5
15,P2,2,11,4,17,4,3,3,3,7,18,4,2,4,2,build,Horse Breeders,5,0.5,0.5
16,P1,2,10,4,18,4,3,3,3,7,18,4,2,4,2,build,Glass-Blower,1,0.5,0.5
17,P2,2,10,4,18,4,3,3,3,7,19,4,3,4,2,build,Statue,4,0.5,0.5
18,P1,2,10,4,19,4,3,3,4,7,19,4,3,4,2,build,Walls,8,0.5,0.5
19,P2,2,12,4,19,4,3,3,4,7,20,4,4,4,2,build,Temple,2,0.5,0.5
20,P1,2,12,4,20,4,3,3,5,7,20,4,4,4,2,build,Archery Range,3,0.5,0.5
1,P2,3,14,4,20,4,3,3,5,7,21,4,4,4,2,build,Traders Guild,19,0.5,0.5
2,P1,3,14,4,21,4,3,3,5,7,21,4,4,4,2,build,Scientists Guild,18,0.5,0.5
3,P2,3,14,4,21,4,3,3,5,0,22,4,4,5,2,build,Observatory,16,0.5,0.5
4,P1,3,14,4,22,4,3,3,6,0,22,4,4,5,2,build,Arsenal,17,0.5,0.5
5,P2,3,17,4,22,4,3,3,6,0,23,4,4,5,2,build,Lighthouse,14,0.5,0.5
6,P1,3,17,4,23,4,3,3,6,0,23,4,4,5,2,build,Magistrates Guild,13,0.5,0.5
7,P2,3,17,4,23,4,3,3,6,0,24,4,4,5,2,build,Port,15,0.5,0.5
8,P1,3,17,4,24,4,3,3,7,0,24,4,4,5,2,build,Circus,12,0.5,0.5
