Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,7,1,4,0,0,0,7,0,4,0,0,0,build,Stone Reserve,16,0.5,0.5
2,P2,1,9,7,1,4,0,0,0,5,1,4,0,1,0,build,Workshop,18,0.5,0.5
3,P1,1,9,7,2,4,0,0,0,5,1,4,0,1,0,build,Clay Pit,15,0.5,0.5
4,P2,1,9,7,2,4,0,0,0,5,2,4,0,1,1,build,Guard Tower,19,0.5,0.5
5,P1,1,10,7,2,4,0,0,0,5,2,4,0,1,1,build,Press,10,0.5,0.5
6,P2,1,10,7,2,4,0,0,0,5,3,4,0,1,2,build,Palisade,17,0.5,0.5
7,P1,1,11,7,2,4,0,0,0,5,3,4,0,1,2,build,Apothecary,11,0.5,0.5
8,P2,1,11,7,2,4,0,0,0,5,4,4,0,1,2,build,Lumber Yard,6,0.5,0.5
9,P1,1,11,7,3,4,0,1,0,5,4,4,0,1,2,build,Pharmacist,14,0.5,0.5
10,P2,1,11,7,3,4,0,1,0,5,4,4,0,1,2,build,Baths,9,0.5,0.5
11,P1,1,11,7,3,4,0,1,0,5,4,4,0,1,2,build,Clay Pool,12,0.5,0.5
12,P2,1,11,7,3,4,0,1,0,5,5,4,0,2,2,build,Scriptorium,5,0.5,0.5
13,P1,1,11,7,3,4,0,1,0,5,5,4,0,2,2,build,Wood Reserve,2,0.5,0.5
14,P2,1,11,7,3,4,0,1,0,5,5,4,0,2,2,build,Logging Camp,13,0.5,0.5
15,P1,1,11,7,4,4,1,1,0,5,5,4,0,2,2,build,Theater,8,0.5,0.5
16,P2,1,11,7,4,4,1,1,0,5,6,4,0,2,2,build,Tavern,7,0.5,0.5
17,P1,1,11,7,4,4,1,1,0,5,6,4,0,2,2,build,Stable,3,0.5,0.5
18,P2,1,12,7,4,4,1,1,0,5,6,4,0,2,2,build,Clay Reserve,4,0.5,0.5
19,P1,1,12,7,5,4,2,1,0,5,6,4,0,2,2,build,Altar,1,0.5,0.5
20,P2,1,12,7,5,4,2,1,0,5,7,4,0,2,3,build,Garrison,0,0.5,0.5
1,P2,2,13,7,5,4,2,1,0,5,8,4,0,2,3,build,Forum,18,0.5,0.5
2,P1,2,13,7,6,4,3,1,0,5,8,4,0,2,3,build,Rostrum,19,0.5,0.5
3,P2,2,13,7,6,4,3,1,0,5,8,4,0,2,3,build,Shelf Quarry,15,0.5,0.5
4,P1,2,13,7,6,4,3,1,0,5,8,4,0,2,3,build,Laboratory,16,0.5,0.5
5,P2,2,13,7,6,4,3,1,0,5,9,4,0,2,3,build,Caravansery,12,0.5,0.5
6,P1,2,13,7,7,4,4,1,0,5,9,4,0,2,3,build,Temple,11,0.5,0.5
7,P2,2,13,7,7,4,4,1,0,5,9,4,0,2,3,build,Sawmill,6,0.5,0.5
8,P1,2,13,7,7,4,4,1,0,5,9,4,0,2,3,build,Library,7,0.5,0.5
9,P2,2,13,7,7,4,4,1,0,5,9,4,0,2,3,build,Horse Breeders,17,0.5,0.5
10,P1,2,14,7,8,4,4,1,0,5,9,4,0,2,3,build,Brickyard,1,0.5,0.5
11,P2,2,14,7,8,4,4,1,0,5,10,4,0,2,4,build,Archery Range,13,0.5,0.5
12,P1,2,16,7,9,4,4,1,0,5,10,4,0,2,4,build,Brewery,14,0.5,0.5
13,P2,2,16,7,9,4,4,1,0,10,10,4,0,2,4,sell,Statue,9,0.5,0.5
14,P1,2,16,3,10,4,5,1,0,10,10,4,0,2,4,build,Aqueduct,0,0.5,0.5
15,P2,2,16,3,10,4,5,1,0,10,10,4,0,2,4,build,Glass-Blower,8,0.5,0.5
16,P1,2,16,3,10,4,5,1,0,10,10,4,0,2,4,build,Customs House,10,0.5,0.5
17,P2,2,16,3,10,4,5,1,0,10,11,4,0,2,5,build,Parade Ground,3,0.5,0.5
1,P2,3,18,3,10,4,5,1,0,10,12,4,0,2,6,build,Siege Workshop,19,0.5,0.5
