Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,7,1,4,0,0,1,7,0,4,0,0,0,build,Guard Tower,16,0.5,0.5
2,P2,1,10,7,1,4,0,0,1,5,1,4,0,0,1,build,Stable,14,0.5,0.5
3,P1,1,11,7,2,4,0,0,1,5,1,4,0,0,1,build,Press,18,0.5,0.5
4,P2,1,11,7,2,4,0,0,1,5,2,4,0,0,1,build,Clay Pool,15,0.5,0.5
5,P1,1,11,7,2,4,0,0,1,5,2,4,0,0,1,build,Clay Reserve,10,0.5,0.5
6,P2,1,11,7,2,4,0,0,1,5,2,4,0,0,1,build,Wood Reserve,9,0.5,0.5
7,P1,1,11,7,3,4,1,0,1,5,2,4,0,0,1,build,Theater,19,0.5,0.5
8,P2,1,11,7,3,4,1,0,1,5,2,4,0,0,1,build,Logging Camp,13,0.5,0.5
9,P1,1,11,7,4,4,1,0,1,5,2,4,0,0,1,build,Quarry,17,0.5,0.5
10,P2,1,11,7,4,4,1,0,1,5,3,4,0,1,1,build,Workshop,5,0.5,0.5
11,P1,1,11,7,4,4,1,0,1,5,3,4,0,1,1,build,Lumber Yard,11,0.5,0.5
12,P2,1,11,7,4,4,1,0,1,5,4,4,0,1,1,build,Tavern,6,0.5,0.5
13,P1,1,11,7,4,4,1,0,1,5,4,4,0,1,1,build,Palisade,12,0.5,0.5
14,P2,1,12,7,4,4,1,0,1,5,5,4,0,1,1,build,Stone Pit,8,0.5,0.5
15,P1,1,12,7,4,4,1,0,1,5,5,4,0,1,1,build,Pharmacist,2,0.5,0.5
16,P2,1,12,7,4,4,1,0,1,5,6,4,0,1,2,build,Garrison,7,0.5,0.5
17,P1,1,13,7,4,4,1,0,1,5,6,4,0,1,2,build,Glassworks,3,0.5,0.5
18,P2,1,13,7,4,4,1,0,1,5,6,4,0,1,2,build,Apothecary,4,0.5,0.5
19,P1,1,13,7,5,4,1,0,1,5,6,4,0,1,2,build,Clay Pit,1,0.5,0.5
20,P2,1,13,7,5,4,1,0,1,5,7,4,1,1,2,build,Altar,0,0.5,0.5
1,P2,2,13,7,5,4,1,0,1,5,8,4,2,1,2,build,Temple,19,0.5,0.5
2,P1,2,13,3,6,4,1,1,1,5,8,4,2,1,2,build,Library,18,0.5,0.5
3,P2,2,13,3,6,4,1,1,1,5,8,4,2,1,2,build,Glass-Blower,16,0.5,0.5
4,P1,2,13,3,6,4,1,1,1,5,8,4,2,1,2,build,Sawmill,15,0.5,0.5
5,P2,2,13,3,6,4,1,1,1,5,9,4,2,1,2,build,Customs House,11,0.5,0.5
6,P1,2,13,3,6,4,1,1,1,5,9,4,2,1,2,build,Statue,6,0.5,0.5
7,P2,2,13,3,6,4,1,1,1,5,9,4,2,1,2,build,Walls,17,0.5,0.5
8,P1,2,15,1,7,4,1,1,2,5,9,4,2,1,2,build,Horse Breeders,14,0.5,0.5
9,P2,2,16,1,7,4,1,1,2,5,10,4,2,1,2,build,Brickyard,0,0.5,0.5
10,P1,2,16,1,8,4,1,1,3,5,10,4,2,1,2,build,Archery Range,13,0.5,0.5
1,P2,3,18,1,8,4,1,1,3,5,11,4,2,2,2,build,Study,19,0.5,0.5
2,P1,3,18,3,8,4,1,1,3,5,11,4,2,2,2,sell,Fortifications,17,0.5,0.5
