Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,5,1,4,1,0,0,7,0,4,0,0,0,build,Baths,17,0.5,0.5
2,P2,1,9,5,1,4,1,0,0,7,1,4,0,0,0,build,Quarry,14,0.5,0.5
3,P1,1,9,5,2,4,1,1,0,7,1,4,0,0,0,build,Pharmacist,16,0.5,0.5
4,P2,1,9,5,2,4,1,1,0,7,2,4,0,0,0,build,Clay Reserve,15,0.5,0.5
5,P1,1,9,3,3,4,1,2,0,7,2,4,0,0,0,build,Workshop,9,0.5,0.5
6,P2,1,9,3,3,4,1,2,0,7,3,4,0,1,0,build,Scriptorium,18,0.5,0.5
7,P1,1,9,3,4,4,1,2,0,7,3,4,0,1,0,build,Logging Camp,10,0.5,0.5
8,P2,1,9,3,4,4,1,2,0,7,4,4,0,1,0,build,Clay Pool,19,0.5,0.5
9,P1,1,9,3,5,4,1,2,1,7,4,4,0,1,0,build,Palisade,11,0.5,0.5
10,P2,1,10,3,5,4,1,2,1,7,5,4,0,1,0,build,Stone Reserve,5,0.5,0.5
11,P1,1,10,3,6,4,1,3,1,7,5,4,0,1,0,build,Apothecary,13,0.5,0.5
12,P2,1,10,3,6,4,1,3,1,7,6,4,0,1,1,build,Garrison,12,0.5,0.5
13,P1,1,9,3,7,4,1,3,1,7,6,4,0,1,1,build,Clay Pit,6,0.5,0.5
14,P2,1,9,3,7,4,1,3,1,7,7,4,0,1,1,build,Wood Reserve,2,0.5,0.5
15,P1,1,9,3,8,4,2,3,1,7,7,4,0,1,1,build,Theater,7,0.5,0.5
16,P2,1,9,3,8,4,2,3,1,7,8,4,0,1,2,build,Guard Tower,3,0.5,0.5
17,P1,1,8,3,9,4,2,3,1,7,8,4,0,1,2,build,Stone Pit,8,0.5,0.5
18,P2,1,8,3,9,4,2,3,1,7,9,4,0,1,2,build,Glassworks,0,0.5,0.5
19,P1,1,8,3,10,4,2,3,1,7,9,4,0,1,2,build,Tavern,4,0.5,0.5
20,P2,1,8,3,10,4,2,3,1,7,10,4,1,1,2,build,Altar,1,0.5,0.5
1,P2,2,8,3,10,4,2,3,1,7,11,4,1,1,3,build,Barracks,19,0.5,0.5
2,P1,2,7,3,11,4,3,3,1,7,11,4,1,1,3,build,Courthouse,17,0.5,0.5
3,P2,2,7,3,11,4,3,3,1,7,12,4,1,2,3,build,Library,18,0.5,0.5
