1767989937,Spears,Spears,P2,Civilian,35,0,1
1767989938,Spears,Spears,P2,Civilian,36,0,1
1767990523,Spears,Spears,P2,Civilian,33,0,1
1767990523,Spears,Spears,P2,Civilian,37,1,3
1767990523,Spears,Spears,P1,Civilian,42,4,0
1767990523,Spears,Spears,P1,Civilian,47,1,0
1767990523,Spears,Spears,P2,Civilian,38,0,2
1767990615,Spears,Spears,P1,Civilian,32,1,0
1767990615,Spears,Spears,P1,Civilian,32,1,0
1767990615,Spears,Spears,P1,Civilian,37,2,0
1767990615,Spears,Spears,P1,Civilian,27,1,0
1767990616,Spears,Spears,P1,Civilian,37,3,1
1767990616,Spears,Spears,P1,Civilian,36,3,2
1767990616,Spears,Spears,Tie,Civilian,35,1,1
1767990616,Spears,Spears,P2,Civilian,39,0,2
1767990617,Spears,Spears,P1,Civilian,31,1,0
1767990617,Spears,Spears,Tie,Civilian,36,1,1
1767990743,Spears,Spears,Tie,Civilian,36,0,0
1767990743,Spears,Spears,P2,Civilian,41,0,2
1767990744,Spears,Spears,P2,Civilian,29,0,2
1767990744,Spears,Spears,Tie,Civilian,39,0,0
1767990744,Spears,Spears,Tie,Civilian,35,2,2
1767990744,Spears,Spears,P2,Civilian,34,1,3
1767990745,Spears,Spears,Tie,Civilian,28,1,1
1767990745,Spears,Spears,Tie,Civilian,33,1,1
1767990745,Spears,Spears,P1,Civilian,30,1,0
1767990745,Spears,Spears,P1,Civilian,49,2,0
1767990882,Spears,Spears,P2,Civilian,36,1,2
1767990882,Spears,Spears,Tie,Civilian,30,1,1
1767990882,Spears,Spears,P1,Civilian,38,3,0
1767990882,Spears,Spears,Tie,Civilian,33,2,2
1767990882,Spears,Spears,P1,Civilian,30,3,0
1767992506,Spears,Spears,P2,Civilian,38,1,2
1767992507,Spears,Spears,P1,Civilian,32,2,0
1767992507,Spears,Spears,P1,Civilian,30,4,0
1767992507,Spears,Spears,P1,Civilian,33,2,0
1767992507,Spears,Spears,Tie,Civilian,37,1,1
1767992508,Spears,Spears,P2,Civilian,35,2,3
1767992508,Spears,Spears,P2,Civilian,39,2,3
1767992508,Spears,Spears,Tie,Civilian,41,2,2
1767992508,Spears,Spears,Tie,Civilian,33,0,0
1767992508,Spears,Spears,P1,Civilian,26,1,0
1767992509,Spears,Spears,Tie,Civilian,40,3,3
1767992509,Spears,Spears,Tie,Civilian,40,0,0
1767992509,Spears,Spears,P1,Civilian,35,3,2
1767992509,Spears,Spears,Tie,Civilian,27,1,1
1767992510,Spears,Spears,P2,Civilian,32,0,2
1767992510,Spears,Spears,P1,Civilian,29,1,0
1767992510,Spears,Spears,P1,Civilian,36,2,1
1767992510,Spears,Spears,Tie,Civilian,32,1,1
1767992511,Spears,Spears,P2,Civilian,43,0,1
1767992511,Spears,Spears,Tie,Civilian,47,1,1
1767992511,Spears,Spears,P2,Civilian,32,0,1
1767992511,Spears,Spears,P1,Civilian,34,2,0
1767992512,Spears,Spears,P1,Civilian,33,2,1
1767992512,Spears,Spears,P2,Civilian,39,0,2
1767992512,Spears,Spears,Tie,Civilian,30,2,2
1767992512,Spears,Spears,P2,Civilian,50,1,2
1767992513,Spears,Spears,Tie,Civilian,42,1,1
1767992513,Spears,Spears,P1,Civilian,42,4,2
1767992513,Spears,Spears,P2,Civilian,30,1,3
1767992513,Spears,Spears,P2,Civilian,38,1,3
