Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,7,1,4,0,0,1,7,0,4,0,0,0,build,Guard Tower,18,0.5,0.5
2,P2,1,10,7,1,4,0,0,1,5,1,4,0,1,0,build,Apothecary,17,0.5,0.5
3,P1,1,10,7,1,4,0,0,1,5,1,4,0,1,0,build,Workshop,12,0.5,0.5
4,P2,1,10,7,1,4,0,0,1,5,2,4,0,1,1,build,Palisade,19,0.5,0.5
5,P1,1,11,7,2,4,0,0,1,5,2,4,0,1,1,build,Press,14,0.5,0.5
6,P2,1,11,7,2,4,0,0,1,5,3,4,1,1,1,build,Baths,16,0.5,0.5
7,P1,1,11,7,2,4,0,0,1,5,3,4,1,1,1,build,Pharmacist,11,0.5,0.5
8,P2,1,11,7,2,4,0,0,1,5,3,4,1,1,1,build,Clay Reserve,13,0.5,0.5
9,P1,1,11,7,3,4,1,0,1,5,3,4,1,1,1,build,Theater,15,0.5,0.5
10,P2,1,11,7,3,4,1,0,1,5,4,4,2,1,1,build,Altar,7,0.5,0.5
11,P1,1,11,7,3,4,1,0,1,5,4,4,2,1,1,build,Clay Pool,9,0.5,0.5
12,P2,1,11,7,3,4,1,0,1,5,4,4,2,1,1,build,Logging Camp,10,0.5,0.5
13,P1,1,11,7,4,4,1,0,1,5,4,4,2,1,1,build,Glassworks,6,0.5,0.5
14,P2,1,11,7,4,4,1,0,1,5,4,4,2,1,1,build,Clay Pit,3,0.5,0.5
15,P1,1,11,7,5,4,1,0,2,5,4,4,2,1,1,build,Garrison,5,0.5,0.5
16,P2,1,12,7,5,4,1,0,2,5,4,4,2,1,1,build,Wood Reserve,2,0.5,0.5
17,P1,1,12,7,6,4,1,0,2,5,4,4,2,1,1,build,Tavern,0,0.5,0.5
18,P2,1,12,7,6,4,1,0,2,5,5,4,2,1,1,build,Stone Reserve,8,0.5,0.5
19,P1,1,12,7,6,4,1,0,2,5,5,4,2,1,1,build,Scriptorium,4,0.5,0.5
20,P2,1,12,7,6,4,1,0,2,5,6,4,2,1,2,build,Stable,1,0.5,0.5
1,P1,2,13,7,7,4,1,1,2,5,6,4,2,1,2,build,Laboratory,19,0.5,0.5
2,P2,2,13,7,7,4,1,1,2,5,6,4,2,1,2,build,Customs House,17,0.5,0.5
3,P1,2,13,7,8,4,1,1,2,5,6,4,2,1,2,build,Forum,14,0.5,0.5
4,P2,2,13,7,8,4,1,1,2,5,6,4,2,1,2,build,Horse Breeders,10,0.5,0.5
5,P1,2,14,11,8,4,1,1,2,5,6,4,2,1,2,sell,Aqueduct,18,0.5,0.5
6,P2,2,14,11,8,4,1,1,2,8,6,4,2,1,2,sell,School,15,0.5,0.5
7,P1,2,14,11,9,4,1,1,2,8,6,4,2,1,2,build,Glass-Blower,11,0.5,0.5
8,P2,2,14,11,9,4,1,1,2,8,7,4,2,1,3,build,Archery Range,5,0.5,0.5
9,P1,2,16,11,9,4,1,1,2,8,7,4,2,1,3,build,Statue,6,0.5,0.5
10,P2,2,16,11,9,4,1,1,2,11,7,4,2,1,3,sell,Brewery,0,0.5,0.5
11,P1,2,16,11,9,4,1,1,2,11,7,4,2,1,3,build,Parade Ground,16,0.5,0.5
1,P1,3,18,11,10,4,1,2,2,11,7,4,2,1,3,build,Academy,18,0.5,0.5
2,P2,3,18,11,10,4,1,2,2,11,7,4,2,1,3,build,Magistrates Guild,15,0.5,0.5
3,P1,3,18,11,11,4,2,2,2,11,7,4,2,1,3,build,Obelisk,19,0.5,0.5
4,P2,3,18,11,11,4,2,2,2,1,7,4,2,1,3,wonder,Senate,16,0.5,0.5
5,P1,3,18,11,12,4,3,2,2,1,7,4,2,1,3,build,Palace,11,0.5,0.5
6,P2,3,18,11,12,4,3,2,2,4,7,4,2,1,3,sell,Arena,17,0.5,0.5
7,P1,3,18,11,13,4,3,2,2,4,7,4,2,1,3,build,Armory,12,0.5,0.5
8,P2,3,18,11,13,4,3,2,2,4,7,4,2,1,3,build,Study,9,0.5,0.5
9,P1,3,18,7,13,4,3,2,2,4,7,4,2,1,3,wonder,Arsenal,6,0.5,0.5
