Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,9,0,4,0,0,0,7,0,4,0,0,0,sell,Stone Reserve,15,0.5,0.5
2,P2,1,9,9,0,4,0,0,0,7,1,4,0,0,1,build,Palisade,16,0.5,0.5
3,P1,1,10,1,0,4,0,0,0,7,1,4,0,0,1,wonder,Quarry,14,0.5,0.5
4,P2,1,10,1,0,4,0,0,0,7,2,4,0,1,1,build,Pharmacist,9,0.5,0.5
5,P1,1,10,3,0,4,0,0,0,7,2,4,0,1,1,sell,Guard Tower,10,0.5,0.5
6,P2,1,11,3,0,4,0,0,0,5,3,4,0,2,1,build,Workshop,19,0.5,0.5
7,P1,1,11,3,1,4,0,0,0,5,3,4,0,2,1,build,Tavern,18,0.5,0.5
8,P2,1,11,3,1,4,0,0,0,5,4,4,0,2,1,build,Clay Reserve,5,0.5,0.5
9,P1,1,11,1,2,4,1,0,0,5,4,4,0,2,1,build,Baths,17,0.5,0.5
10,P2,1,11,1,2,4,1,0,0,5,5,4,1,2,1,build,Altar,12,0.5,0.5
11,P1,1,11,1,3,4,1,1,0,5,5,4,1,2,1,build,Scriptorium,13,0.5,0.5
12,P2,1,11,1,3,4,1,1,0,5,6,4,1,2,1,build,Glassworks,11,0.5,0.5
13,P1,1,11,1,4,4,1,1,0,5,6,4,1,2,1,build,Logging Camp,7,0.5,0.5
14,P2,1,11,1,4,4,1,1,0,5,7,4,1,2,1,build,Stone Pit,8,0.5,0.5
15,P1,1,11,1,5,4,1,1,1,5,7,4,1,2,1,build,Stable,6,0.5,0.5
16,P2,1,12,1,5,4,1,1,1,5,8,4,2,2,1,build,Theater,4,0.5,0.5
17,P1,1,12,4,5,4,1,1,1,5,8,4,2,2,1,sell,Lumber Yard,2,0.5,0.5
18,P2,1,12,4,5,4,1,1,1,5,9,4,2,2,1,build,Clay Pool,3,0.5,0.5
19,P1,1,12,4,6,4,1,1,1,5,9,4,2,2,1,build,Clay Pit,1,0.5,0.5
20,P2,1,12,4,6,4,1,1,1,5,10,4,2,3,1,build,Apothecary,0,0.5,0.5
1,P2,2,12,4,6,4,1,1,1,2,11,4,2,4,1,build,Library,18,0.5,0.5
2,P1,2,12,4,7,4,1,1,1,2,11,4,2,4,1,build,Customs House,19,0.5,0.5
3,P2,2,12,4,7,4,1,1,1,2,12,4,2,4,2,build,Archery Range,16,0.5,0.5
4,P1,2,10,8,7,4,1,1,1,2,12,4,2,4,2,sell,Drying Room,15,0.5,0.5
5,P2,2,10,8,7,4,1,1,1,2,13,4,2,4,3,build,Walls,12,0.5,0.5
6,P1,2,8,8,8,4,1,2,1,2,13,4,2,4,3,build,Laboratory,17,0.5,0.5
7,P2,2,8,8,8,4,1,2,1,2,14,4,3,4,3,build,Statue,14,0.5,0.5
8,P1,2,8,8,9,4,1,2,2,2,14,4,3,4,3,build,Barracks,11,0.5,0.5
9,P2,2,9,8,9,4,1,2,2,2,15,4,3,4,3,build,Brickyard,10,0.5,0.5
10,P1,2,9,8,10,4,1,2,2,2,15,4,3,4,3,build,Shelf Quarry,13,0.5,0.5
11,P2,2,9,8,10,4,1,2,2,2,16,4,3,4,3,build,Sawmill,6,0.5,0.5
12,P1,2,9,1,10,4,1,2,2,2,16,4,3,4,3,wonder,Caravansery,5,0.5,0.5
13,P2,2,9,1,10,4,1,2,2,2,17,4,3,4,3,build,Forum,0,0.5,0.5
14,P1,2,9,1,11,4,2,2,2,2,17,4,3,4,3,build,Courthouse,8,0.5,0.5
15,P2,2,9,1,11,4,2,2,2,2,18,4,3,5,3,build,School,7,0.5,0.5
16,P1,2,9,1,12,4,2,2,2,2,18,4,3,5,3,build,Glass-Blower,2,0.5,0.5
17,P2,2,9,1,12,4,2,2,2,2,19,4,3,6,3,build,Dispensary,1,0.5,0.5
18,P1,2,9,5,12,4,2,2,2,2,19,4,3,6,3,sell,Temple,9,0.5,0.5
19,P2,2,9,5,12,4,2,2,2,2,20,4,3,6,4,build,Horse Breeders,4,0.5,0.5
20,P1,2,8,5,13,4,2,2,3,2,20,4,3,6,4,build,Parade Ground,3,0.5,0.5
1,P2,3,10,5,13,4,2,2,3,0,21,4,4,6,4,build,Senate,19,0.5,0.5
2,P1,3,10,9,13,4,2,2,3,0,21,4,4,6,4,sell,Siege Workshop,17,0.5,0.5
3,P2,3,12,9,13,4,2,2,3,0,22,4,4,6,4,build,Lighthouse,18,0.5,0.5
4,P1,3,12,9,14,4,2,2,3,0,22,4,4,6,4,build,Scientists Guild,16,0.5,0.5
5,P2,3,12,9,14,4,2,2,3,0,23,4,5,6,4,build,Palace,13,0.5,0.5
6,P1,3,12,0,15,4,3,2,3,0,23,4,5,6,4,build,Gardens,15,0.5,0.5
7,P2,3,12,0,15,4,3,2,3,0,24,4,5,7,4,build,Study,11,0.5,0.5
8,P1,3,12,0,16,4,3,3,3,0,24,4,5,7,4,build,Academy,14,0.5,0.5
9,P2,3,12,0,16,4,3,3,3,5,24,4,5,7,4,sell,Circus,12,0.5,0.5
10,P1,3,10,4,16,4,3,3,3,5,24,4,5,7,4,sell,Fortifications,10,0.5,0.5
11,P2,3,12,4,16,4,3,3,3,5,25,4,5,7,4,build,Armory,9,0.5,0.5
12,P1,3,12,4,17,4,4,3,3,5,25,4,5,7,4,build,Obelisk,6,0.5,0.5
13,P2,3,12,4,17,4,4,3,3,5,26,4,5,7,4,build,Port,5,0.5,0.5
14,P1,3,12,4,18,4,5,3,3,5,26,4,5,7,4,build,Town Hall,8,0.5,0.5
15,P2,3,12,4,18,4,5,3,3,5,27,4,5,7,4,build,Arena,7,0.5,0.5
16,P1,3,12,4,19,4,5,3,3,5,27,4,5,7,4,build,Builders Guild,3,0.5,0.5
17,P2,3,12,4,19,4,5,3,3,1,28,4,5,8,4,build,Observatory,2,0.5,0.5
18,P1,3,12,4,20,4,5,3,4,1,28,4,5,8,4,build,Arsenal,0,0.5,0.5
19,P2,3,15,4,20,4,5,3,4,1,29,4,5,8,4,build,Chamber Of Commerce,4,0.5,0.5
20,P1,3,16,4,20,4,5,3,4,1,29,4,5,8,4,wonder,Moneylenders Guild,1,0.5,0.5
