Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
1,P1,1,9,7,1,4,0,1,0,7,0,4,0,0,0,build,Pharmacist,16,0.5,0.5
2,P2,1,9,7,1,4,0,1,0,7,1,4,0,0,1,build,Guard Tower,14,0.5,0.5
3,P1,1,10,7,2,4,0,1,1,7,1,4,0,0,1,build,Palisade,15,0.5,0.5
4,P2,1,11,7,2,4,0,1,1,7,2,4,0,0,1,build,Stone Pit,19,0.5,0.5
5,P1,1,11,9,2,4,0,1,1,7,2,4,0,0,1,sell,Altar,9,0.5,0.5
6,P2,1,11,9,2,4,0,1,1,7,3,4,0,0,1,build,Tavern,18,0.5,0.5
7,P1,1,11,9,3,4,0,1,1,7,3,4,0,0,1,build,Press,17,0.5,0.5
8,P2,1,11,9,3,4,0,1,1,7,3,4,0,0,1,build,Wood Reserve,12,0.5,0.5
9,P1,1,11,9,3,4,0,1,1,7,3,4,0,0,1,build,Lumber Yard,11,0.5,0.5
10,P2,1,11,9,3,4,0,1,1,7,3,4,0,0,1,build,Quarry,10,0.5,0.5
11,P1,1,11,2,3,4,0,1,1,7,3,4,0,0,1,wonder,Clay Reserve,7,0.5,0.5
12,P2,1,11,2,3,4,0,1,1,7,3,4,0,0,1,build,Clay Pit,13,0.5,0.5
13,P1,1,11,2,4,4,0,1,1,7,3,4,0,0,1,build,Stone Reserve,8,0.5,0.5
14,P2,1,11,2,4,4,0,1,1,7,3,4,0,0,1,build,Logging Camp,4,0.5,0.5
15,P1,1,11,2,5,4,0,2,1,7,3,4,0,0,1,build,Workshop,5,0.5,0.5
16,P2,1,11,2,5,4,0,2,1,7,4,4,0,0,2,build,Garrison,6,0.5,0.5
17,P1,1,12,5,5,4,0,2,1,7,4,4,0,0,2,sell,Glassworks,3,0.5,0.5
18,P2,1,12,5,5,4,0,2,1,7,4,4,0,0,2,build,Theater,2,0.5,0.5
19,P1,1,12,5,6,4,0,2,1,7,4,4,0,0,2,build,Clay Pool,1,0.5,0.5
20,P2,1,12,5,6,4,0,2,1,7,5,4,1,0,2,build,Baths,0,0.5,0.5
1,P2,2,12,5,6,4,0,2,1,7,6,4,1,0,3,build,Parade Ground,18,0.5,0.5
2,P1,2,14,5,6,4,0,2,1,7,6,4,1,0,3,build,Sawmill,15,0.5,0.5
3,P2,2,14,5,6,4,0,2,1,2,7,4,1,0,4,build,Horse Breeders,19,0.5,0.5
4,P1,2,15,8,6,4,0,2,1,2,7,4,1,0,4,sell,Dispensary,11,0.5,0.5
5,P2,2,15,8,6,4,0,2,1,2,7,4,1,0,4,build,Brewery,6,0.5,0.5
6,P1,2,15,2,6,4,0,2,1,2,7,4,1,0,4,wonder,Library,0,0.5,0.5
7,P2,2,15,2,6,4,0,2,1,2,7,4,1,0,4,build,Drying Room,17,0.5,0.5
8,P1,2,15,5,6,4,0,2,1,2,7,4,1,0,4,sell,Walls,14,0.5,0.5
9,P2,2,17,5,6,4,0,2,1,5,7,4,1,0,4,sell,Statue,16,0.5,0.5
10,P1,2,17,5,6,4,0,2,1,5,7,4,1,0,4,build,Courthouse,10,0.5,0.5
11,P2,2,17,5,6,4,0,2,1,5,8,4,1,0,4,build,Caravansery,12,0.5,0.5
12,P1,2,17,8,6,4,0,2,1,5,8,4,1,0,4,sell,Brickyard,7,0.5,0.5
13,P2,2,17,8,6,4,0,2,1,5,9,4,1,0,4,build,Shelf Quarry,5,0.5,0.5
14,P1,2,17,0,6,4,0,2,1,5,9,4,1,0,4,wonder,School,13,0.5,0.5
15,P2,2,17,0,6,4,0,2,1,5,10,4,1,0,5,build,Archery Range,1,0.5,0.5
1,P2,3,18,0,6,4,0,2,1,5,11,4,2,0,5,build,Obelisk,18,0.5,0.5
2,P1,3,18,3,6,4,0,2,1,5,11,4,2,0,5,sell,Lighthouse,19,0.5,0.5
3,P2,3,18,3,6,4,0,2,1,5,11,4,2,0,5,build,Town Hall,17,0.5,0.5
4,P1,3,18,3,6,4,0,2,1,5,11,4,2,0,5,build,Pretorium,15,0.5,0.5
